"principalsalesrep","customersoldto","customershipto","salesrepid"
"ALLREP","0030070570","0070090977","mymrni-jocneo"
"ALLREP","0030070570","0070090977","mymrni-johndsoong"
"ALLREP","0030070570","0070090977","mymrni-johnleeyh"
"ALLREP","0030070570","0070090977","mymrni-johnong"
"ALLREP","0030070570","0070090977","mymrni-jolenegoh"
"ALLREP","0030070570","0070090977","mymrni-jonathantan"
"ALLREP","0030070570","0070090977","mymrni-josephinel"
"ALLREP","0030070570","0070090977","mymrni-josephines"
"ALLREP","0030070570","0070090977","mymrni-josephinet"
"ALLREP","0030070570","0070090977","mymrni-judylee"
"ALLREP","0030070570","0070090977","mymrni-karmunyong"
"ALLREP","0030070570","0070090977","mymrni-kateteoh"
"ALLREP","0030070570","0070090977","mymrni-kellylam"
"ALLREP","0030070570","0070090977","mymrni-kellylaw"
"ALLREP","0030070570","0070090977","mymrni-kenlim"
"ALLREP","0030070570","0070090977","mymrni-kevinliew"
"ALLREP","0030070570","0070090977","mymrni-kevinsia"
"ALLREP","0030070570","0070090977","mymrni-khchong"
"ALLREP","0030070570","0070090977","mymrni-klwong"
"ALLREP","0030070570","0070090977","mymrni-kumarkris"
"ALLREP","0030070570","0070090977","mymrni-kychong"
"ALLREP","0030070570","0070090977","mymrni-liking"
"ALLREP","0030070570","0070090977","mymrni-lindawong"
"ALLREP","0030070570","0070090977","mymrni-lizyiow"
"ALLREP","0030070570","0070090977","mymrni-lovetteliew"
"ALLREP","0030070570","0070090977","mymrni-lxho"
"ALLREP","0030070570","0070090977","mymrni-mabellim"
"ALLREP","0030070570","0070090977","mymrni-malcolmng"
"ALLREP","0030070570","0070090977","mymrni-marcuskoh"
"ALLREP","0030070570","0070090977","mymrni-marsita"
"ALLREP","0030070570","0070090977","mymrni-marykhoo"
"ALLREP","0030070570","0070090977","mymrni-maviskuek"
"ALLREP","0030070570","0070090977","mymrni-melorbaz"
"ALLREP","0030070570","0070090977","mymrni-merdinakoh"
"ALLREP","0030070570","0070090977","mymrni-michelley"
"ALLREP","0030070570","0070090977","mymrni-mikelem"
"ALLREP","0030070570","0070090977","mymrni-mlchong"
"ALLREP","0030070570","0070090977","mymrni-nabilahm"
"ALLREP","0030070570","0070090977","mymrni-nickibeh"
"ALLREP","0030070570","0070090977","mymrni-nicwong"
"ALLREP","0030070570","0070090977","mymrni-norelida"
"ALLREP","0030070570","0070090977","mymrni-olivekim"
"ALLREP","0030070570","0070090977","mymrni-patrickchin"
"ALLREP","0030070570","0070090977","mymrni-paulchong"
"ALLREP","0030070570","0070090977","mymrni-pclee"
"ALLREP","0030070570","0070090977","mymrni-philipkoh"
"ALLREP","0030070570","0070090977","mymrni-phoontan"
"ALLREP","0030070570","0070090977","mymrni-ptng"
"ALLREP","0030070570","0070090977","mymrni-rachaellu"
"ALLREP","0030070570","0070090977","mymrni-racheleng"
"ALLREP","0030070570","0070090977","mymrni-rainteo"
"ALLREP","0030070570","0070090977","mymrni-raymondng"
"ALLREP","0030070570","0070090977","mymrni-rhemar"
"ALLREP","0030070570","0070090977","mymrni-richterlee"
"ALLREP","0030070570","0070090977","mymrni-rockyyin"
"ALLREP","0030070570","0070090977","mymrni-roeyaw"
"ALLREP","0030070570","0070090977","mymrni-sckhor"
"ALLREP","0030070570","0070090977","mymrni-scliew"
"ALLREP","0030070570","0070090977","mymrni-serenelee"
"ALLREP","0030070570","0070090977","mymrni-sherchong"
"ALLREP","0030070570","0070090977","mymrni-sherfennyo"
"ALLREP","0030070570","0070090977","mymrni-sherineng"
"ALLREP","0030070570","0070090977","mymrni-sheryinong"
"ALLREP","0030070570","0070090977","mymrni-sheryllim"
"ALLREP","0030070570","0070090977","mymrni-shuanchen"
"ALLREP","0030070570","0070090977","mymrni-sjhoe"
"ALLREP","0030070570","0070090977","mymrni-skteoh"
"ALLREP","0030070570","0070090977","mymrni-slingtan"
"ALLREP","0030070570","0070090977","mymrni-smlim"
"ALLREP","0030070570","0070090977","mymrni-stevenchong"
"ALLREP","0030070570","0070090977","mymrni-stevetham"
"ALLREP","0030070570","0070090977","mymrni-sweeyeec"
"ALLREP","0030070570","0070090977","mymrni-syaheida"
"ALLREP","0030070570","0070090977","mymrni-syteo"
"ALLREP","0030070570","0070090977","mymrni-tamsintan"
"ALLREP","0030070570","0070090977","mymrni-tinitachow"
"ALLREP","0030070570","0070090977","mymrni-tpwang"
"ALLREP","0030070570","0070090977","mymrni-trudylau"
"ALLREP","0030070570","0070090977","mymrni-vasuppiah"
"ALLREP","0030070570","0070090977","mymrni-victorlim"
"ALLREP","0030070570","0070090977","mymrni-vienang"
"ALLREP","0030070570","0070090977","mymrni-vivienkho"
"ALLREP","0030070570","0070090977","mymrni-vweechin"
"ALLREP","0030070570","0070090977","mymrni-wctung"
"ALLREP","0030070570","0070090977","mymrni-wendyliew"
"ALLREP","0030070570","0070090977","mymrni-wenniek"
"ALLREP","0030070570","0070090977","mymrni-williamteh"
"ALLREP","0030070570","0070090977","mymrni-wlyeap"
"ALLREP","0030070570","0070090977","mymrni-wsyee"
"ALLREP","0030070570","0070090977","mymrni-wxyow"
"ALLREP","0030070570","0070090977","mymrni-wynteech"
"ALLREP","0030070570","0070090977","mymrni-xinyulim"
"ALLREP","0030070570","0070090977","mymrni-xplim"
"ALLREP","0030070570","0070090977","mymrni-xyteh"
"ALLREP","0030070570","0070090977","mymrni-yeyong"
"ALLREP","0030070570","0070090977","mymrni-ypchong"
"ALLREP","0030070570","0070090977","mymrni-yuhanlim"
"ALLREP","0030070570","0070090977","mymrni-yvonnesay"
"ALLREP","0030070570","0070090977","mynrdsk-aahakimk"
"ALLREP","0030070570","0070090977","mynrdsk-aisz"
"ALLREP","0030070570","0070090977","mynrdsk-akaz"
"ALLREP","0030070570","0070090977","mynrdsk-auce"
"ALLREP","0030070570","0070090977","mynrdsk-brandonlim"
"ALLREP","0030070570","0070090977","mynrdsk-calvincyl"
"ALLREP","0030070570","0070090977","mynrdsk-chcj"
"ALLREP","0030070570","0070090977","mynrdsk-chcw"
"ALLREP","0030070570","0070090977","mynrdsk-chjy"
"ALLREP","0030070570","0070090977","mynrdsk-clog"
"ALLREP","0030070570","0070090977","mynrdsk-cncy"
"ALLREP","0030070570","0070090977","mynrdsk-cnyt"
"ALLREP","0030070570","0070090977","mynrdsk-colleentay"
"ALLREP","0030070570","0070090977","mynrdsk-cwarizal"
"ALLREP","0030070570","0070090977","mynrdsk-cwmi"
"ALLREP","0030070570","0070090977","mynrdsk-eelw"
"ALLREP","0030070570","0070090977","mynrdsk-elwee"
"ALLREP","0030070570","0070090977","mynrdsk-erinooi"
"ALLREP","0030070570","0070090977","mynrdsk-eswe"
"ALLREP","0030070570","0070090977","mynrdsk-evanlim"
"ALLREP","0030070570","0070090977","mynrdsk-geht"
"ALLREP","0030070570","0070090977","mynrdsk-hkwy"
"ALLREP","0030070570","0070090977","mynrdsk-hobl"
"ALLREP","0030070570","0070090977","mynrdsk-howe"
"ALLREP","0030070570","0070090977","mynrdsk-hpgt"
"ALLREP","0030070570","0070090977","mynrdsk-hwjy"
"ALLREP","0030070570","0070090977","mynrdsk-ivankoo"
"ALLREP","0030070570","0070090977","mynrdsk-jasminep"
"ALLREP","0030070570","0070090977","mynrdsk-jlzi"
"ALLREP","0030070570","0070090977","mynrdsk-khuy"
"ALLREP","0030070570","0070090977","mynrdsk-lbzq"
"ALLREP","0030070570","0070090977","mynrdsk-lclg"
"ALLREP","0030070570","0070090977","mynrdsk-lhnm"
"ALLREP","0030070570","0070090977","mynrdsk-lijh"
"ALLREP","0030070570","0070090977","mynrdsk-lindaooi"
"ALLREP","0030070570","0070090977","mynrdsk-lmfg"
"ALLREP","0030070570","0070090977","mynrdsk-lmyz"
"ALLREP","0030070570","0070090977","mynrdsk-lnck"
"ALLREP","0030070570","0070090977","mynrdsk-lpsz"
"ALLREP","0030070570","0070090977","mynrdsk-lqsl"
"ALLREP","0030070570","0070090977","mynrdsk-lttee"
"ALLREP","0030070570","0070090977","mynrdsk-ltyap"
"ALLREP","0030070570","0070090977","mynrdsk-lwet"
"ALLREP","0030070570","0070090977","mynrdsk-lwkh"
"ALLREP","0030070570","0070090977","mynrdsk-lwzl"
"ALLREP","0030070570","0070090977","mynrdsk-lzyo"
"ALLREP","0030070570","0070090977","mynrdsk-mjoi"
"ALLREP","0030070570","0070090977","mynrdsk-nalg"
"ALLREP","0030070570","0070090977","mynrdsk-pchakkarwar"
"ALLREP","0030070570","0070090977","mynrdsk-powt"
"ALLREP","0030070570","0070090977","mynrdsk-qsyh"
"ALLREP","0030070570","0070090977","mynrdsk-rcbs"
"ALLREP","0030070570","0070090977","mynrdsk-roselinec"
"ALLREP","0030070570","0070090977","mynrdsk-siyt"
"ALLREP","0030070570","0070090977","mynrdsk-skph"
"ALLREP","0030070570","0070090977","mynrdsk-sktan"
"ALLREP","0030070570","0070090977","mynrdsk-slhg"
"ALLREP","0030070570","0070090977","mynrdsk-telp"
"ALLREP","0030070570","0070090977","mynrdsk-thenitram"
"ALLREP","0030070570","0070090977","mynrdsk-tzhi"
"ALLREP","0030070570","0070090977","mynrdsk-vincentsiow"
"ALLREP","0030070570","0070090977","mynrdsk-vsf"
"ALLREP","0030070570","0070090977","mynrdsk-wchc"
"ALLREP","0030070570","0070090977","mynrdsk-wgc"
"ALLREP","0030070570","0070090977","mynrdsk-womk"
"ALLREP","0030070570","0070090977","mynrdsk-xylm"
"ALLREP","0030070570","0070090977","mynrdsk-yelt"
"ALLREP","0030070570","0070090977","mynrdsk-yllm"
"ALLREP","0030070570","0070090977","mynrdsk-ypsl"
"ALLREP","0030070570","0070090977","mynrdsk-yrmd"
"ALLREP","0030070570","0070090977","mynrdsk-zeliango"
"ALLREP","0030070570","0070090977","mynrdsk-zsys"
"ALLREP","0030070570","0070090977","mysoza-birdtan"
"ALLREP","0030070570","0070090977","mysoza-clarissat"
"ALLREP","0030070570","0070090977","mysoza-evlaw"
